openlibrary_work_key,title,original_title,description,release_year,image_url,external_rating_average,external_rating_count,first_publish_year,author_names,pages
OL37909009W,Night Owl,Night Owl,"Night Owl: A Nationbuilder's Manual is a 2021 memoir authored by former Build Build Build Committee Chairperson Anna Mae Yu Lamentillo,[1] providing a narrative of the Philippines' infrastructure policy from 2016 to 2022.",2021,https://covers.openlibrary.org/b/id/14592125-L.jpg,5,43,2021,Anna Mae Yu Lamentillo,380
OL5759980W,The Pigeon finds a hot dog!,The Pigeon finds a hot dog!,A cute duckling 🐥 is bothering the pigeon over a hot dog!! Who will win this battle?,2004,https://covers.openlibrary.org/b/id/3334789-L.jpg,4.818182,33,2004,Mo Willems,40
OL16813053W,Words of Radiance,Words of Radiance,"The eagerly awaited sequel to the New York Times bestselling The Way of Kings.

Six years ago, the Assassin in White, a hireling of the inscrutable Parshendi, assassinated the Alethi king on the very night a treaty between men and Parshendi was being celebrated. So began the Vengeance Pact among the highprinces of Alethkar and the War of Reckoning against the Parshendi.

Now the Assassin is active again, murdering rulers all over the world, using his baffling powers to thwart every bodyguard and elude all pursuers. Among his prime targets is Highprince Dalinar, widely considered the power behind the Alethi throne. His leading role in the war would seem reason enough, but the Assassin’s master has much deeper motives.

Expected by his enemies to die the miserable death of a military slave, Kaladin survived to be given command of the royal bodyguards, a controversial first for a low-status darkeyes.  Now he must protect the king and Dalinar from every common peril as well as the distinctly uncommon threat of the Assassin, all while secretly struggling to master remarkable new powers that are somehow linked to his honorspren, Syl.

Brilliant but troubled Shallan strives along a parallel path. Despite being broken in ways she refuses to acknowledge, she bears a terrible burden: to somehow prevent the return of the legendary Voidbringers and their civilization-ending Desolation. The secrets she needs can be found at the Shattered Plains, but even arriving there proves more difficult than she imagined.

Meanwhile, at the heart of the Shattered Plains, the Parshendi are making an epochal decision. Hard pressed by years of Alethi attacks, their numbers ever shrinking, they are convinced by their war leader, Eshonai, to risk everything on a desperate gamble with the very supernatural forces they once fled. The consequences for Parshendi and humans alike—indeed, for Roshar itself—are as dangerous as they are incalculable.",2012,https://covers.openlibrary.org/b/id/14658334-L.jpg,4.6853933,89,2012,Brandon Sanderson,1088
OL17054790W,Percy Jackson's Greek Gods,Percy Jackson's Greek Gods,"""A publisher in New York asked me to write down what I know about the Greek gods, and I was like, 'Can we do this anonymously?' Because I don't need the Olympians mad at me again. But if it helps you to know your Greek gods, and survive an encounter with them if they ever show up in your face, then I guess writing all this down will be my good deed for the week.""

So begins Percy Jackson's Greek Gods, in which the son of Poseidon adds his own magic - and sarcastic asides - to the classics. He explains how the world was created, then gives listeners his personal take on a who's who of ancients, from Apollo to Zeus. Percy does not hold back: ""If you like horror shows, blood baths, lying, stealing, backstabbing, and cannibalism, then read on, because it definitely was a Golden Age for all that.""",2006,https://covers.openlibrary.org/b/id/7396660-L.jpg,4.6901407,71,2006,Rick Riordan,406
OL16361049W,Keeper of the Lost Cities,Keeper of the Lost Cities,"Twelve-year-old Sophie has never quite fit into her life. She’s skipped multiple grades and doesn’t really connect with the older kids at school, but she’s not comfortable with her family, either. The reason? Sophie’s a Telepath, someone who can read minds. No one knows her secret—at least, that’s what she thinks…

But the day Sophie meets Fitz, a mysterious (and adorable) boy, she learns she’s not alone. He’s a Telepath too, and it turns out the reason she has never felt at home is that, well…she isn’t. Fitz opens Sophie’s eyes to a shocking truth, and she is forced to leave behind her family for a new life in a place that is vastly different from what she has ever known.

But Sophie still has secrets, and they’re buried deep in her memory for good reason: The answers are dangerous and in high-demand. What is her true identity, and why was she hidden among humans? The truth could mean life or death—and time is running out.",2012,https://covers.openlibrary.org/b/id/9320507-L.jpg,4.6896553,58,2012,Shannon Messenger,512
OL17625829W,Empire of Storms,Empire of Storms,"The long path to the throne has only just begun for Aelin Galathynius. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.

With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, and dark forces become poised to claim her world, the only chance for salvation will lie in a desperate quest that may mark the end of everything Aelin holds dear.

In this breathtaking fifth installment of the New York Times bestselling Throne of Glass series, Aelin will have to choose what -- and who -- to sacrifice if she's to keep the world of Erilea from breaking apart.",2016,https://covers.openlibrary.org/b/id/14349313-L.jpg,4.78125,32,2016,Sarah J. Maas,704
OL17812914W,Diary of a Wimpy Kid,Diary of a Wimpy Kid,"With the cold weather and the stress of the approaching holiday season, the Heffleys decide to escape to a tropical island resort for some much-needed rest and relaxation. A few days in paradise should do wonders for Greg and his frazzled family.

But the Heffleys soon discover that paradise isn't everything it's cracked up to be. Sun poisoning, stomach troubles, and venomous critters all threaten to ruin the family's vacation. Can their trip be saved, or will this island getaway end in disaster?


----------
###German-language description:
Gregs Tagebuch ist eine der erfolgreichsten Kinderbuch-Reihen der Welt. Die humorvollen Comic-Romane um Greg Heffley besitzen mittlerweile Kultstatus. Die Geschichten sind an tatsächliche Erlebnisse in Jeff Kinney Kindheit und Jugend angelehnt.
<br/>
Endlich Ferien! Greg kann es kaum erwarten, es sich mit ein paar Videospielen und Filmen gemütlich zu machen. Aber Mom und Dad haben andere Pläne. Um der Kälte zu entkommen, beschließen sie, mit der ganzen Familie auf eine tropische Insel zu fliegen: Und tschüss! Greg ist nicht gerade begeistert. Nicht nur, dass er das erste Mal in seinem Leben in ein Flugzeug steigen muss! Im Paradies angekommen, wird es noch schlimmer: Ein vertauschter Koffer, ein unfreiwilliger Tauchgang und eine Horde fieser Krabbeltiere lassen diesen Urlaub unvergesslich werden ...",2017,https://covers.openlibrary.org/b/id/10332154-L.jpg,4.6567163,67,2017,Jeff Kinney,218
OL35223328W,Married at first sight,Married at first sight,,2015,https://covers.openlibrary.org/b/id/14312142-L.jpg,4.7045455,44,2015,Gu Lingfei,
OL5759972W,Are you ready to play outside?,Are you ready to play outside?,"Friends Elephant and Piggie are playing outside when it starts to rain, and then they must decide what to do.",2001,https://covers.openlibrary.org/b/id/14417189-L.jpg,4.894737,19,2001,Mo Willems,60
OL16810944W,The School for Good and Evil,The School for Good and Evil,"**A dark and enchanting fantasy adventure perfect for those who prefer their fairytales with a twist. The first in the bestselling School for Good and Evil series.**

Every four years, two girls are kidnapped from the village of Gavaldon. Legend has it these lost children are sent to the School for Good and Evil, the fabled institution where they become fairytale heroes or villains.

With her glass slippers and devotion to good deeds, Sophie knows she'll join the ranks of past students like Cinderella, Rapunzel, and Snow White at the School for Good. Meanwhile, Agatha, with her shapeless black dresses and wicked black cat, seems a natural fit for the villains in the School for Evil.

But the two girls soon find their fortunes reversed – Sophie's dumped in the School for Evil to take Uglification, Death Curses and Henchmen Training, while Agatha finds herself in the School for Good, thrust among handsome princes and fair maidens for classes in Princess Etiquette and Animal Communication.

But what if the mistake is actually the first clue to discovering who Sophie and Agatha really are?",2007,https://covers.openlibrary.org/b/id/7879561-L.jpg,4.6545453,55,2007,Soman Chainani,496
