tmdb_id,title,original_title,description,release_year,image_url,external_rating_average,external_rating_count,runtime_minutes,director_names,actor_names
278,Побег из Шоушенка,The Shawshank Redemption,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.",1994,https://image.tmdb.org/t/p/w500/yvmKPlTIi0xdcFQIFcQKQJcI63W.jpg,8.721,30433,142,Фрэнк Дарабонт,"Тим Роббинс, Морган Фримен, Боб Гантон, Уильям Сэдлер, Клэнси Браун, Гил Беллоуз, Джеймс Уитмор, Марк Ролстон, Джеффри ДеМанн, Larry Brandenburg"
238,Крёстный отец,The Godfather,"Криминальная сага, повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов. Глава семьи, Дон Вито Корлеоне, выдаёт замуж свою дочь. В это время со Второй мировой войны возвращается его любимый сын Майкл. Майкл, герой войны, гордость семьи, не выражает желания заняться жестоким семейным бизнесом. Дон Корлеоне ведёт дела по старым правилам, но наступают иные времена, и появляются люди, желающие изменить сложившиеся порядки. На Дона Корлеоне совершается покушение.",1972,https://image.tmdb.org/t/p/w500/hoowzozsn0XQGtgH8nyivAMZfPN.jpg,8.687,22966,175,Фрэнсис Форд Коппола,"Марлон Брандо, Аль Пачино, Джеймс Каан, Роберт Дюваль, Richard S. Castellano, Дайан Китон, Талия Шайр, Gianni Russo, Sterling Hayden, Джон Марли"
155,Тёмный рыцарь,The Dark Knight,"Бэтмен поднимает ставки в войне с криминалом. С помощью лейтенанта Джима Гордона и прокурора Харви Дента он намерен очистить улицы от преступности, отравляющей город. Сотрудничество оказывается эффективным, но скоро они обнаружат себя посреди хаоса, развязанного восходящим криминальным гением, известным испуганным горожанам под именем Джокер.",2008,https://image.tmdb.org/t/p/w500/aPtN76OjnNKLqCJ2FJBnQOIL031.jpg,8.531,35799,152,Кристофер Нолан,"Кристиан Бейл, Хит Леджер, Аарон Екгарт, Майкл Кейн, Мэгги Джилленхол, Гэри Олдман, Морган Фримен, Моник Кёрнен, Рон Дин, Киллиан Мёрфи"
424,Список Шиндлера,Schindler's List,"Оскар Шиндлер, член национал-социалистической немецкой рабочей партии и преуспевающий промышленник, во время Второй мировой войны спасает евреев от ужасной смерти в концлагерях.",1993,https://image.tmdb.org/t/p/w500/dB7edCQIuExWErWXFVqR7ORnZRS.jpg,8.568,17468,195,Стивен Спилберг,"Лиам Нисон, Бен Кингсли, Рэйф Файнс, Кэролайн Гудолл, Джонатан Сегал, Эмбет Дэвидц, Малгожата Гебел, Шмуэль Леви, Марк Иванир, Béatrice Macola"
240,Крёстный отец 2,The Godfather Part II,"В центре драмы представители нового поколения гангстерского клана — дона Корлеоне и его сына, для которых не существует моральных преград на пути достижения поставленых целей. Они превращают мафию, построенную по патриархальным, еще сицилийским законам, в весьма прагматичную, жесткую корпорацию, плавно интегрирующуюся в большой бизнес Америки.",1974,https://image.tmdb.org/t/p/w500/tOLQ3iRDfbwhVaw3QjDzIOS7zcu.jpg,8.572,13922,200,Фрэнсис Форд Коппола,"Аль Пачино, Роберт Дюваль, Дайан Китон, Роберт Де Ниро, John Cazale, Талия Шайр, Ли Страсберг, Michael V. Gazzo, Джи Ди Спрэдлин, Richard Bright"
13,Форрест Гамп,Forrest Gump,"Сидя на автобусной остановке, Форрест Гамп — не очень умный, но добрый и открытый парень — рассказывает случайным встречным историю своей необыкновенной жизни. С самого малолетства парень страдал от заболевания ног, соседские мальчишки дразнили его, но в один прекрасный день Форрест открыл в себе невероятные способности к бегу. Подруга детства Дженни всегда его поддерживала и защищала, но вскоре дороги их разошлись.",1994,https://image.tmdb.org/t/p/w500/ejDjdjHHE1T0T7Bo8Ghj2y8gR02.jpg,8.465,29759,142,Роберт Земекис,"Том Хэнкс, Робин Райт, Гэри Синиз, Салли Филд, Майкелти Уильямсон, Michael Conner Humphreys, Hanna Hall, Хейли Джоэл Осмент, Шиван Фэллон Хоган, Rebecca Williams"
129,Унесённые призраками,千と千尋の神隠し,"Тихиро с мамой и папой переезжает в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней, став пленниками злой колдуньи Юбабы. Теперь, оказавшись одна среди волшебных существ и загадочных видений, Тихиро должна придумать, как избавить своих родителей от чар коварной старухи.",2001,https://image.tmdb.org/t/p/w500/uANcal3l15d0rFb5fTXhCAhSold.jpg,8.534,18327,124,Хаяо Миядзаки,"Руми Хиираги, Мию Ирино, Мари Нацуки, Такаши Наито, Ясуко Савагути, Тацуя Гасюин, Рюноскэ Камики, Юми Тамай, Йо Оидзуми, Коба Хаяши"
122,Властелин колец: возвращение короля,The Lord of the Rings: The Return of the King,Арагорн оказывается наследником древних королей. Вместе с Гэндальфом и другими участниками распавшегося Братства кольца он борется за спасение Гондора.,2003,https://image.tmdb.org/t/p/w500/x6NqCWwU1SrQnvfdmVPAuATyUgD.jpg,8.499,26562,201,Питер Джексон,"Элайджа Вуд, Иэн МакКеллен, Вигго Мортенсен, Шон Эстин, Энди Сёркис, Доминик Монаган, Билли Бойд, Джон Ноубл, Дэвид Уэнэм, Миранда Отто"
157336,Интерстеллар,Interstellar,"Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину в путешествие, чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.",2014,https://image.tmdb.org/t/p/w500/vReLRjDV9XPhiOSEW7QWow4DXwf.jpg,8.475,39847,169,Кристофер Нолан,"Мэттью Макконахи, Энн Хэтэуэй, Майкл Кейн, Джессика Честейн, Кейси Аффлек, Уэс Бентли, Тофер Грейс, Маккензи Фой, Эллен Бёрстин, Джон Литгоу"
680,Криминальное чтиво,Pulp Fiction,"Пути двух наемных убийц, профессионального бойца, двух бандитов и жены гангстера пересекаются в этом закрученном кровавом путешествии по злачному центру Лос-Анджелеса.",1994,https://image.tmdb.org/t/p/w500/qvbfoyW2zaI15c0quUfF6CRGH4H.jpg,8.484,30207,154,Квентин Тарантино,"Джон Траволта, Сэмюэл Л. Джексон, Ума Турман, Брюс Уиллис, Винг Рэймс, Харви Кейтель, Эрик Штольц, Тим Рот, Аманда Пламмер, Мария де Медейруш"
497,Зелёная миля,The Green Mile,"Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.",1999,https://image.tmdb.org/t/p/w500/lHxe8t4B0CKv4DO0C0B4rsuiG95.jpg,8.506,19267,189,Фрэнк Дарабонт,"Том Хэнкс, Дэвид Морс, Бонни Хант, Майкл Кларк Дункан, Джеймс Кромвелл, Майкл Джитер, Грэм Грин, Даг Хатчисон, Сэм Рокуэлл, Барри Пеппер"
496243,Паразиты,기생충,"Обычное корейское семейство жизнь не балует. Приходится жить в сыром грязном полуподвале, воровать интернет у соседей и перебиваться случайными подработками. Однажды друг сына семейства, уезжая на стажировку за границу, предлагает тому заменить его и поработать репетитором у старшеклассницы в богатой семье Пак. Подделав диплом о высшем образовании, парень отправляется в шикарный дизайнерский особняк и производит на хозяйку дома хорошее впечатление. Тут же ему в голову приходит необычный план по трудоустройству сестры.",2019,https://image.tmdb.org/t/p/w500/9xL2PwIOerz8jld06J9cxwuJfoD.jpg,8.495,20645,131,Пон Джун Хо,"Сон Кан Хо, Ли Сон Гюн, Чо Ё Чжон, Чхве У Сик, Пак Со Там, Ли Чон Ын, Чан Хе Джин, Пак Мён Хун, Чон Чжи Со, Чон Хён Чжун"
550,Бойцовский клуб,Fight Club,"Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен, что самосовершенствование — удел слабых, а единственное, ради чего стоит жить, — саморазрушение. Проходит немного времени, и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром, и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости, они основывают тайный Бойцовский клуб, который начинает пользоваться невероятной популярностью.",1999,https://image.tmdb.org/t/p/w500/66RvLrRJTm4J8l3uHXWF09AICol.jpg,8.438,32052,139,Дэвид Финчер,"Эдвард Нортон, Брэд Питт, Хелена Бонем Картер, Meat Loaf, Джаред Лето, Зак Гренье, Холт Маккэллани, Эйон Бэйли, Richmond Arquette, Дэвид Эндрюс"
389,12 разгневанных мужчин,12 Angry Men,"Юношу обвиняют в убийстве собственного отца, ему грозит электрический стул. Двенадцать присяжных собираются чтобы вынести вердикт: виновен или нет.С начала заседания почти все склонились к тому, что виновен, и лишь только один из двенадцати позволил себе усомниться. Счет голосов присяжных по принципу «виновен — невиновен» был 11:1. К концу собрания мнения судей кардинально изменились…",1957,https://image.tmdb.org/t/p/w500/uDFEvhvKrH61KuGWWozRtbw2Rjv.jpg,8.561,9991,97,Сидни Люмет,"Мартин Болсам, Джон Фидлер, Ли Джей Кобб, Э. Г. Маршалл, Jack Klugman, Edward Binns, Джек Уорден, Генри Фонда, Joseph Sweeney, Ed Begley"
120,Властелин колец: братство кольца,The Lord of the Rings: The Fellowship of the Ring,"Фродо Бэггинс отправляется в необыкновенное путешествие, чтобы уничтожить кольцо Саурона. Он пройдет путь от безмятежной деревни хоббитов до дымящихся пустошей Мордора.",2001,https://image.tmdb.org/t/p/w500/mICmkjv3D5HYbp9if9d3WIVNZxL.jpg,8.435,27559,179,Питер Джексон,"Элайджа Вуд, Иэн МакКеллен, Вигго Мортенсен, Шон Эстин, Иэн Холм, Лив Тайлер, Кристофер Ли, Шон Бин, Билли Бойд, Доминик Монаган"
