tmdb_id,show_tmdb_id,season_number,title,original_title,description,release_year,image_url,air_date
3572,1396,1,Сезон 1,Сезон 1,"Первый сезон сериала знакомит зрителя с жизнью Уолтера Уайта — 50-летнего школьного учителя химии из города Альбукерке. Помимо преподавания он вынужден подрабатывать на автомойке, чтобы содержать свою беременную жену и сына-инвалида. Однако Уолтеру приходится пересмотреть свой привычный образ жизни, когда у него диагностируют неоперабельный рак лёгкого.

С целью оплаты лечения и обеспечения финансового будущего своей семьи Уолтер Уайт решает заняться производством метамфетамина. Его напарником становится бывший ученик — Джесси Пинкман. Вместе они находят домик на колёсах и отправляются в пустыню, чтобы приготовить первую партию наркотика. Но приготовление — это лишь полдела, нужно ещё продать полученный метамфетамин. И на этом пути напарники то и дело попадают в сложные ситуации, в которых им приходится принимать непростые решения.",2008,https://image.tmdb.org/t/p/w500/oW0G4MKWcyNaRGckZf8WRFyO5cH.jpg,2008-01-20
3573,1396,2,Сезон 2,Сезон 2,"Во втором сезоне Уолтера и Джесси похищает наркоторговец Туко, но им удаётся сбежать. Никакие проблемы не могут остановить Уолтера Уайта на пути к намеченной цели, и они с Джесси опять отправляются в пустыню, где за четыре дня готовят крупную партию наркотика. Джесси привлекает своих приятелей для сбыта метамфетамина. Однако вскоре один из них попадает под арест. Начинающие наркоторговцы обращаются за помощью к адвокату Солу Гудману (Боб Оденкерк). Благодаря криминальным связям Сола Уолтер Уайт знакомится с Гусом Фрингом (Джанкарло Эспозито), который покупает весь оставшийся запас метамфетамина за 1,2 миллиона долларов...",2009,https://image.tmdb.org/t/p/w500/hTxpM4TWy2FPxldPln6SK9h5iZ0.jpg,2009-03-08
3575,1396,3,Сезон 3,Сезон 3,"В третьем сезоне Уолтер Уайт заключает крупную сделку с наркобароном Гусом Фрингом, который строит для Уолтера метамфетаминовую лабораторию в подвале одной из своих прачечных. Джесси в это время отправляется в реабилитационный центр, чтобы избавиться от наркозависимости. В лаборатории Уолтеру помогает новый напарник Гейл Беттикер (Дэвид Костабайл), поэтому после возвращения Джесси оказывается не у дел.

Пытаясь вернуться в наркобизнес, Пинкман то и дело попадает в неприятности, из которых его раз за разом выручает Уолтер Уайт. Сначала Джесси конфликтует с агентом Шрейдером. Уолтер предлагает Джесси работу в лаборатории, чтобы уладить конфликт...",2010,https://image.tmdb.org/t/p/w500/kn8RcTdHrnxrxgltusGb6QPybFv.jpg,2010-03-21
3576,1396,4,Сезон 4,Сезон 4,"В четвёртом сезоне Уолтер и Джесси возвращаются к производству метамфетамина для Гуса Фринга. Однако секретность наркопредприятия ставится под угрозу. В результате расследования убийства Гейла Беттикера полиция находит улики, указывающие на сеть закусочных, которой владеет Гус Фринг. Хэнк Шрейдер постепенно выходит на след Фринга, а Уолтер Уайт становится невольным участником этого расследования. К тому же поведение Пинкмана становится всё более безрассудными и угрожает безопасности предприятия.

Гус Фринг тем временем ликвидирует верхушку мексиканского наркокартеля, обеспечивая монополию своему наркобизнесу. Затем он решает доверить метамфетаминовую лабораторию Пинкману, чтобы можно было избавиться от Уолтера Уайта и его свояка из УБН. Угроза жизни опять подталкивает Уолта на крайние меры. Он вступает в схватку с Гусом Фрингом и выходит из неё победителем.",2011,https://image.tmdb.org/t/p/w500/25zO6QiCNpQ7XI0MA296O2BZPkE.jpg,2011-07-17
3578,1396,5,Сезон 5,Сезон 5,"Первая половина пятого сезона посвящена триумфу криминального гения Уолтера Уайта. Для начала Уолтер и Джесси достигают соглашения с Майком Эрмантраутом (Джонатан Бэнкс), отвечавшим за безопасность наркотрафика при Гусе Фринге. Совместно они ликвидируют компрометирующие их улики и возобновляют производство метамфетамина. Вскоре Джесси и Майк решают отойти от дел, а Уолтер договаривается о сотрудничестве с представителем мексиканского наркокартеля и берёт себе в помощники Тодда Алкиста (Джесси Племонс). Наконец, изрядно разбогатев, Уолтер Уайт уходит на покой.

Хэппи-энду не даёт сбыться внезапное открытие Хэнка Шрейдера, с которого начинается вторая половина пятого сезона. Хэнк узнаёт, что его свояк и есть тот самый преступник, которого он безуспешно пытался найти на протяжении последних двух лет. Прежде чем начать официальное расследование, Хэнк занимается самостоятельным сбором доказательств...",2012,https://image.tmdb.org/t/p/w500/nmKUhCjmzgK2mBpvoSM1JcCxbui.jpg,2012-07-15
421523,273240,1,Сезон 1,Сезон 1,,2026,https://image.tmdb.org/t/p/w500/gtoV2udbEnUgkMuCNX8zJrEwm7N.jpg,2026-05-13
785,246,1,Книга 1: Вода,Книга 1: Вода,"Катара и Сокка (брат и сестра из Южного Племени Воды) обнаруживают Аватара (12-летнего мальчика мага Воздуха по имени Аанг), застывшего в айсберге. Вместе трое отправляются в путешествие на Северный полюс, чтобы найти мастера магии Воды, чтобы Аанг мог приступить к обучению Аватара!",2005,https://image.tmdb.org/t/p/w500/vrEKZX4gw1pDx0PkqCHSByb4V0H.jpg,2005-02-21
787,246,2,Книга 2: Земля,Книга 2: Земля,"Аанг вместе с Катарой, Соккой и их друзьями-животными Аппой и Момо продолжает свои поиски, чтобы исполнить свое предназначение в качестве Аватара. Согласно циклу Аватара, теперь группа должна войти в Царство Земли, чтобы найти мастера магии Земли, чтобы научить Аанга.",2006,https://image.tmdb.org/t/p/w500/vGZeHcbaCddXScd0NpTu3UK2GzR.jpg,2006-03-17
786,246,3,Книга 3: Огонь,Книга 3: Огонь,"Аанг просыпается после битвы с Азулой и обнаруживает, что Ба Синг Се пал, и мир думает, что он мертв. Поэтому он и его друзья отправились под прикрытием через Народ Огня, чтобы найти Лорда Огня Озая до Дня Черного Солнца. Принц Зуко возвращается домой торжествующим сыном, но вскоре обнаруживает, что честь, которой он так жаждал от своего отца, бесполезна. Формируются новые союзы, и Команда Аватара разрабатывает новый план, чтобы остановить Лорда огня. Но найдут ли они его вовремя?",2007,https://image.tmdb.org/t/p/w500/wNeBCpVaTpcz66noa3No1kazUeJ.jpg,2007-09-21
134187,94605,1,Сезон 1,Сезон 1,"Две сестры. Два города. Одно открытие, которое изменит мир навсегда. В городах Пилтовер и Заун назревают волнения, поскольку изобретатели и воры, политики и криминальные авторитеты недовольны ограничениями общества, разорванного на части.",2021,https://image.tmdb.org/t/p/w500/wg1lHGauCXlYw0m2qWWW5TGEmkT.jpg,2021-11-06
